neighbourhood,price
Hyde Park,125
West Town,104
Lincoln Park,188
Lincoln Park,339
Logan Square,214
West Town,95
Edgewater,120
North Center,257
Lincoln Park,326
Logan Square,246
Pullman,100
Pullman,50
Pullman,100
Logan Square,91
Irving Park,65
Near South Side,170
Near West Side,191
Edgewater,32
Kenwood,115
Lake View,211
West Town,292
West Town,126
Logan Square,96
Lincoln Square,101
Logan Square,150
Lincoln Square,60
Edgewater,70
Lake View,286
Forest Glen,80
Forest Glen,75
West Ridge,63
Near North Side,118
Lake View,167
Lincoln Square,228
Logan Square,84
Lincoln Park,85
Logan Square,110
Lincoln Park,
East Garfield Park,136
West Town,323
Near West Side,133
Rogers Park,89
Rogers Park,79
Rogers Park,79
Rogers Park,179
Near North Side,85
Lincoln Park,120
Near West Side,321
West Town,139
Rogers Park,149
Near West Side,103
Lincoln Park,727
Logan Square,93
Lake View,
Uptown,175
West Ridge,20
Lincoln Park,216
Beverly,49
Lower West Side,63
Near North Side,440
Rogers Park,166
Lake View,72
Lincoln Park,155
West Town,139
Near North Side,153
Lake View,232
Lower West Side,82
Lake View,350
Lake View,565
Lake View,893
Lake View,965
Woodlawn,79
Hyde Park,112
Lincoln Park,364
North Lawndale,45
Irving Park,103
Lake View,125
Irving Park,37
Near South Side,200
Logan Square,89
West Town,258
Lake View,75
Humboldt Park,107
Lower West Side,82
Kenwood,74
Lake View,30
West Town,314
North Center,286
Lincoln Square,86
West Town,135
East Garfield Park,36
Washington Park,80
Lower West Side,65
Washington Park,129
Loop,160
Near South Side,200
Lake View,
Dunning,45
Near North Side,155
West Town,179
West Town,220
West Lawn,39
South Shore,85
Logan Square,107
North Center,160
Logan Square,236
Logan Square,1080
Edgewater,89
Lake View,414
Near West Side,299
East Garfield Park,117
Lake View,295
Lake View,75
Dunning,35
Rogers Park,54
Hyde Park,76
Logan Square,98
Edgewater,49
Irving Park,76
Near North Side,170
Rogers Park,68
West Ridge,20
Bridgeport,
Humboldt Park,126
Loop,55
West Town,257
West Lawn,39
Near North Side,121
Grand Boulevard,133
Lincoln Park,109
West Town,65
Near West Side,136
Uptown,109
Uptown,164
Lower West Side,82
Grand Boulevard,150
Uptown,60
Edgewater,42
Lake View,162
Uptown,207
Irving Park,62
Lake View,196
Logan Square,250
Edgewater,65
Grand Boulevard,116
West Ridge,21
Near North Side,329
Lake View,100
Irving Park,50
North Center,212
Irving Park,107
Uptown,
West Town,308
West Town,90
West Town,100
Logan Square,64
Logan Square,76
West Town,160
Uptown,
West Town,135
Uptown,528
Uptown,
Lincoln Park,120
West Town,48
Grand Boulevard,100
Grand Boulevard,146
Uptown,656
Near North Side,275
West Town,82
West Town,114
Logan Square,175
West Town,5000
West Town,55
West Town,75
West Town,114
West Town,170
Lower West Side,25
Hyde Park,82
Near West Side,90
West Town,200
West Town,225
Logan Square,200
South Shore,20
Lincoln Park,224
Lincoln Park,275
West Town,321
South Shore,25
South Shore,26
Uptown,102
South Lawndale,
South Lawndale,65
South Lawndale,70
Lincoln Park,69
Grand Boulevard,148
West Garfield Park,104
East Garfield Park,64
Lake View,99
Near West Side,185
Hermosa,40
West Town,160
Mckinley Park,52
Loop,200
West Ridge,19
North Center,287
Uptown,
Uptown,
Lake View,157
North Center,90
Logan Square,77
Portage Park,68
Near West Side,279
North Center,260
Lincoln Square,100
Hegewisch,129
North Center,80
West Town,110
Irving Park,150
West Town,139
West Town,283
Near North Side,159
Lower West Side,68
Avondale,163
Loop,180
West Town,207
Lincoln Park,282
North Center,264
Lincoln Park,264
Lincoln Park,273
North Center,245
West Town,302
Woodlawn,66
Logan Square,93
Lincoln Square,97
Lincoln Square,88
Lake View,428
Near North Side,84
Lincoln Park,599
Logan Square,204
North Center,236
North Center,279
North Center,295
Woodlawn,159
Uptown,
Lower West Side,179
Grand Boulevard,107
West Town,196
West Town,268
Grand Boulevard,137
North Center,216
Edgewater,100
Logan Square,58
Logan Square,57
North Center,290
North Center,203
North Center,269
Lincoln Park,234
Portage Park,85
Lincoln Park,236
Lincoln Park,319
Hyde Park,50
West Town,152
Logan Square,106
East Garfield Park,68
Avondale,35
Irving Park,150
West Town,100
Near North Side,
Logan Square,400
West Town,103
Lake View,81
Uptown,
West Town,349
West Elsdon,
Logan Square,121
West Town,
Loop,175
Logan Square,85
Rogers Park,62
West Ridge,138
Irving Park,85
Uptown,
Lake View,127
Logan Square,170
West Town,69
Portage Park,251
Logan Square,214
Lake View,314
Portage Park,85
Portage Park,78
Near West Side,144
North Center,120
Lincoln Park,71
Lake View,183
Lake View,175
Portage Park,333
Near West Side,119
Lake View,350
Edgewater,100
West Town,91
Avondale,38
West Town,450
Near West Side,1007
Armour Square,80
West Town,143
Irving Park,40
Ashburn,129
Rogers Park,63
Lake View,104
West Town,680
Uptown,281
West Town,74
Douglas,120
Near North Side,142
Lake View,202
Greater Grand Crossing,33
Greater Grand Crossing,40
North Lawndale,85
Lincoln Square,65
West Town,74
Lake View,525
Near North Side,105
Rogers Park,62
Near North Side,
Lake View,119
Near North Side,179
Irving Park,175
Lake View,81
Lake View,128
West Town,440
Near North Side,150
Logan Square,76
Near West Side,153
Logan Square,151
West Town,88
West Town,47
Lake View,249
West Ridge,73
Portage Park,295
West Town,171
Near North Side,304
Norwood Park,99
Bridgeport,50
Lake View,139
Garfield Ridge,48
Lower West Side,68
West Town,500
Lower West Side,97
Lake View,371
Austin,160
Logan Square,115
Lake View,346
Lake View,290
Edgewater,68
Avondale,158
Kenwood,304
Near North Side,155
Near North Side,175
Logan Square,89
Hermosa,
Uptown,
Lake View,164
Logan Square,125
Rogers Park,211
Avondale,35
East Garfield Park,56
Garfield Ridge,37
North Lawndale,104
Near West Side,68
Irving Park,155
Near West Side,80
Near North Side,109
Woodlawn,62
Woodlawn,61
Woodlawn,57
East Garfield Park,57
Woodlawn,58
Woodlawn,59
Irving Park,72
Woodlawn,111
Edgewater,112
Lake View,125
West Town,141
East Garfield Park,56
Near South Side,341
West Ridge,77
West Town,81
Near North Side,145
Near North Side,150
Near North Side,175
Avondale,178
South Shore,158
West Town,70
Near West Side,119
Lincoln Square,64
Lower West Side,135
Lake View,40
Logan Square,160
Lincoln Park,141
Woodlawn,129
Woodlawn,
Lower West Side,
Lower West Side,300
Lake View,486
Grand Boulevard,148
East Garfield Park,115
East Garfield Park,56
Lincoln Square,339
Douglas,1500
Irving Park,95
Kenwood,430
Lake View,165
Humboldt Park,98
Near West Side,75
Lower West Side,141
Loop,170
Loop,160
Near West Side,62
Armour Square,71
Lake View,216
Hyde Park,200
Portage Park,132
West Town,250
Lincoln Park,160
North Center,287
Lake View,112
West Town,382
North Center,100
Portage Park,390
West Town,555
Hyde Park,324
Armour Square,69
Grand Boulevard,59
Near West Side,70
Near West Side,69
Near North Side,301
Irving Park,349
Armour Square,69
Uptown,45
East Garfield Park,130
Edgewater,124
Edgewater,139
Near North Side,305
Logan Square,111
Lincoln Square,369
Irving Park,260
Near South Side,271
Hyde Park,81
Near South Side,127
Lake View,164
Lake View,194
Lincoln Park,179
Armour Square,69
Near North Side,110
West Town,81
Lincoln Park,382
Rogers Park,45
Near North Side,160
Near North Side,157
West Town,116
Belmont Cragin,379
Lower West Side,27
Logan Square,76
Lincoln Park,239
West Town,104
West Town,197
Near North Side,160
Lake View,299
Irving Park,92
Near West Side,199
Logan Square,720
Near South Side,144
North Center,180
Near North Side,338
Logan Square,162
Lake View,146
West Town,95
West Town,388
Logan Square,491
Logan Square,810
East Garfield Park,69
Greater Grand Crossing,
Near West Side,156
Logan Square,799
East Garfield Park,48
Logan Square,54
Logan Square,50
Logan Square,63
Lincoln Park,127
East Garfield Park,60
Uptown,80
West Town,78
Logan Square,114
North Center,258
Lower West Side,
North Center,217
Lincoln Square,55
Lincoln Park,63
Lake View,1342
Norwood Park,132
Humboldt Park,
Lincoln Square,107
Lake View,61
Hyde Park,218
Near North Side,150
West Town,95
Lincoln Park,66
Hermosa,80
Uptown,259
South Lawndale,127
Lower West Side,89
Lake View,55
Woodlawn,307
Greater Grand Crossing,
Greater Grand Crossing,
Greater Grand Crossing,
Edgewater,49
Edgewater,39
West Town,150
Logan Square,104
Lake View,144
Logan Square,119
Lincoln Park,496
Near West Side,80
Edgewater,45
Near North Side,87
Woodlawn,72
Humboldt Park,71
Lake View,166
Oakland,50
West Town,110
Portage Park,
Portage Park,62
West Town,307
North Center,158
Edgewater,96
Avondale,91
North Center,101
Lake View,246
Logan Square,322
Logan Square,475
Logan Square,
Logan Square,115
Rogers Park,48
Near North Side,111
Irving Park,95
Near West Side,154
West Town,312
Irving Park,68
Lake View,270
Logan Square,169
Douglas,170
Avondale,425
Edgewater,301
Rogers Park,286
South Lawndale,350
Norwood Park,53
Lake View,169
Lake View,67
Logan Square,106
West Pullman,80
Lake View,221
West Town,104
Lake View,425
North Center,1500
Lincoln Square,70
West Town,650
Lake View,350
Lake View,70
Rogers Park,94
Avondale,500
West Town,154
Logan Square,231
Lincoln Park,205
Belmont Cragin,80
West Ridge,65
Belmont Cragin,392
Rogers Park,55
Archer Heights,61
West Town,148
Portage Park,98
Lake View,399
Lake View,153
Logan Square,129
Armour Square,139
Lake View,82
Lake View,77
Lake View,154
Edgewater,87
Lincoln Park,200
Irving Park,99
Edgewater,78
West Town,141
Logan Square,124
Austin,210
Armour Square,79
Near North Side,109
Lake View,404
North Park,91
Lake View,95
Norwood Park,47
West Town,95
West Town,112
Near North Side,79
Near North Side,79
Uptown,149
Near North Side,79
Lake View,80
Rogers Park,263
Logan Square,180
Jefferson Park,120
Oakland,514
Humboldt Park,105
North Park,45
Logan Square,92
West Town,149
Edgewater,154
Near North Side,151
Near North Side,79
Lake View,
Jefferson Park,150
West Ridge,146
Irving Park,175
North Lawndale,40
Near North Side,79
Near North Side,79
Near North Side,644
Loop,350
Logan Square,100
Jefferson Park,35
Austin,621
Lake View,
Uptown,
Edison Park,185
Lincoln Square,69
Lower West Side,103
North Lawndale,38
Irving Park,246
Near North Side,322
Hyde Park,328
Lake View,
Hyde Park,107
Near North Side,425
Jefferson Park,100
West Town,182
West Town,187
Lincoln Park,54
Near West Side,225
Loop,245
Edgewater,249
Humboldt Park,46
Oakland,600
Irving Park,100
Loop,245
Avondale,186
Near North Side,107
Lake View,400
Lower West Side,115
Lincoln Park,540
Brighton Park,375
Lincoln Square,211
West Town,121
Uptown,432
Loop,899
Lake View,130
West Town,179
Uptown,351
Hermosa,395
Uptown,188
Logan Square,
Jefferson Park,78
Logan Square,75
West Town,124
Logan Square,90
Rogers Park,169
North Center,59
West Town,128
West Town,140
Albany Park,88
Irving Park,50
Near West Side,245
Brighton Park,90
Near North Side,345
Uptown,250
Lincoln Park,829
Lake View,157
West Ridge,39
Irving Park,50
Uptown,
Near North Side,95
Logan Square,76
West Town,206
Rogers Park,48
Lincoln Park,59
Lake View,275
Lake View,171
Lake View,721
Near North Side,135
Near North Side,100
Avondale,227
Englewood,42
Uptown,439
Logan Square,143
Near North Side,170
Logan Square,89
West Ridge,344
Logan Square,55
Lake View,224
West Town,91
Lake View,225
West Town,113
Jefferson Park,
North Park,45
West Town,200
Lake View,
Hyde Park,40
Lincoln Square,129
Lincoln Square,69
West Town,81
Bridgeport,135
Archer Heights,
Rogers Park,40
West Town,390
Near North Side,98
